"Step","swa_coco_baseline - loss","swa_coco_baseline - loss__MIN","swa_coco_baseline - loss__MAX"
"0","4.888296127319336","4.888296127319336","4.888296127319336"
"100","3.781388282775879","3.781388282775879","3.781388282775879"
"200","3.3685402870178223","3.3685402870178223","3.3685402870178223"
"300","3.099733352661133","3.099733352661133","3.099733352661133"
"400","2.781968832015991","2.781968832015991","2.781968832015991"
"500","2.6063296794891357","2.6063296794891357","2.6063296794891357"
"600","2.651548385620117","2.651548385620117","2.651548385620117"
"700","2.495985984802246","2.495985984802246","2.495985984802246"
"800","2.473618984222412","2.473618984222412","2.473618984222412"
"900","2.435370922088623","2.435370922088623","2.435370922088623"
"1000","2.2096073627471924","2.2096073627471924","2.2096073627471924"
"1100","2.188671112060547","2.188671112060547","2.188671112060547"
"1200","2.1563916206359863","2.1563916206359863","2.1563916206359863"
"1300","2.3251047134399414","2.3251047134399414","2.3251047134399414"
"1400","2.0436530113220215","2.0436530113220215","2.0436530113220215"
"1500","1.8393220901489258","1.8393220901489258","1.8393220901489258"
"1600","2.150085687637329","2.150085687637329","2.150085687637329"
"1700","2.049551010131836","2.049551010131836","2.049551010131836"
"1800","1.9950008392333984","1.9950008392333984","1.9950008392333984"
"1900","1.78879714012146","1.78879714012146","1.78879714012146"
"2000","1.9407429695129395","1.9407429695129395","1.9407429695129395"
"2100","2.1001944541931152","2.1001944541931152","2.1001944541931152"
"2200","2.1184730529785156","2.1184730529785156","2.1184730529785156"
"2300","1.9371751546859741","1.9371751546859741","1.9371751546859741"
"2400","2.0833516120910645","2.0833516120910645","2.0833516120910645"
"2500","1.6890876293182373","1.6890876293182373","1.6890876293182373"
"2600","1.7367476224899292","1.7367476224899292","1.7367476224899292"
"2700","1.9188722372055054","1.9188722372055054","1.9188722372055054"
"2800","1.9232423305511475","1.9232423305511475","1.9232423305511475"
"2900","1.898970603942871","1.898970603942871","1.898970603942871"
"3000","1.9477145671844482","1.9477145671844482","1.9477145671844482"
"3100","1.9493672847747803","1.9493672847747803","1.9493672847747803"
"3200","1.8609248399734497","1.8609248399734497","1.8609248399734497"
"3300","1.8308770656585693","1.8308770656585693","1.8308770656585693"
"3400","1.815248727798462","1.815248727798462","1.815248727798462"
"3500","1.892869234085083","1.892869234085083","1.892869234085083"
"3600","1.7094929218292236","1.7094929218292236","1.7094929218292236"
"3700","1.81044602394104","1.81044602394104","1.81044602394104"
"3800","1.6223393678665161","1.6223393678665161","1.6223393678665161"
"3900","1.9062225818634033","1.9062225818634033","1.9062225818634033"
"4000","1.8011033535003662","1.8011033535003662","1.8011033535003662"
"4100","1.6871137619018555","1.6871137619018555","1.6871137619018555"
"4200","1.5863672494888306","1.5863672494888306","1.5863672494888306"
"4300","1.6136504411697388","1.6136504411697388","1.6136504411697388"
"4400","1.7254425287246704","1.7254425287246704","1.7254425287246704"
"4426","1.5839571952819824","1.5839571952819824","1.5839571952819824"
"4526","1.5217820405960083","1.5217820405960083","1.5217820405960083"
"4626","1.496045708656311","1.496045708656311","1.496045708656311"
"4726","1.381779432296753","1.381779432296753","1.381779432296753"
"4826","1.7604527473449707","1.7604527473449707","1.7604527473449707"
"4926","1.9896029233932495","1.9896029233932495","1.9896029233932495"
"5026","1.5885494947433472","1.5885494947433472","1.5885494947433472"
"5126","1.6349132061004639","1.6349132061004639","1.6349132061004639"
"5226","1.702918529510498","1.702918529510498","1.702918529510498"
"5326","1.635154366493225","1.635154366493225","1.635154366493225"
"5426","1.660414457321167","1.660414457321167","1.660414457321167"
"5526","1.443752408027649","1.443752408027649","1.443752408027649"
"5626","1.6013917922973633","1.6013917922973633","1.6013917922973633"
"5726","1.6942851543426514","1.6942851543426514","1.6942851543426514"
"5826","1.3676462173461914","1.3676462173461914","1.3676462173461914"
"5926","1.652309536933899","1.652309536933899","1.652309536933899"
"6026","1.7855820655822754","1.7855820655822754","1.7855820655822754"
"6126","1.4983155727386475","1.4983155727386475","1.4983155727386475"
"6226","1.7289777994155884","1.7289777994155884","1.7289777994155884"
"6326","1.9159884452819824","1.9159884452819824","1.9159884452819824"
"6426","1.5058716535568237","1.5058716535568237","1.5058716535568237"
"6526","1.7392348051071167","1.7392348051071167","1.7392348051071167"
"6626","1.6335166692733765","1.6335166692733765","1.6335166692733765"
"6726","1.5806446075439453","1.5806446075439453","1.5806446075439453"
"6826","1.8381388187408447","1.8381388187408447","1.8381388187408447"
"6926","1.537020206451416","1.537020206451416","1.537020206451416"
"7026","1.3857362270355225","1.3857362270355225","1.3857362270355225"
"7126","1.7057801485061646","1.7057801485061646","1.7057801485061646"
"7226","1.8124446868896484","1.8124446868896484","1.8124446868896484"
"7326","1.6649798154830933","1.6649798154830933","1.6649798154830933"
"7426","1.397944688796997","1.397944688796997","1.397944688796997"
"7526","1.6308211088180542","1.6308211088180542","1.6308211088180542"
"7626","1.711904525756836","1.711904525756836","1.711904525756836"
"7726","1.7492942810058594","1.7492942810058594","1.7492942810058594"
"7826","1.5108623504638672","1.5108623504638672","1.5108623504638672"
"7926","1.5190563201904297","1.5190563201904297","1.5190563201904297"
"8026","1.6713074445724487","1.6713074445724487","1.6713074445724487"
"8126","1.5298256874084473","1.5298256874084473","1.5298256874084473"
"8226","1.7243907451629639","1.7243907451629639","1.7243907451629639"
"8326","1.4620063304901123","1.4620063304901123","1.4620063304901123"
"8426","1.578513503074646","1.578513503074646","1.578513503074646"
"8526","1.5113694667816162","1.5113694667816162","1.5113694667816162"
"8626","1.6601999998092651","1.6601999998092651","1.6601999998092651"
"8726","1.442291021347046","1.442291021347046","1.442291021347046"
"8826","1.6324213743209839","1.6324213743209839","1.6324213743209839"
"8852","1.3998148441314697","1.3998148441314697","1.3998148441314697"
"8952","1.449483871459961","1.449483871459961","1.449483871459961"
"9052","1.8608546257019043","1.8608546257019043","1.8608546257019043"
"9152","1.6551419496536255","1.6551419496536255","1.6551419496536255"
"9252","1.610196590423584","1.610196590423584","1.610196590423584"
"9352","1.4408024549484253","1.4408024549484253","1.4408024549484253"
"9452","1.6807496547698975","1.6807496547698975","1.6807496547698975"
"9552","1.6190006732940674","1.6190006732940674","1.6190006732940674"
"9652","2.014291763305664","2.014291763305664","2.014291763305664"
"9752","1.7122396230697632","1.7122396230697632","1.7122396230697632"
"9852","1.716755986213684","1.716755986213684","1.716755986213684"
"9952","1.6061981916427612","1.6061981916427612","1.6061981916427612"
"10052","1.4814883470535278","1.4814883470535278","1.4814883470535278"
"10152","1.6882275342941284","1.6882275342941284","1.6882275342941284"
"10252","1.4697294235229492","1.4697294235229492","1.4697294235229492"
"10352","1.578687071800232","1.578687071800232","1.578687071800232"
"10452","1.5283832550048828","1.5283832550048828","1.5283832550048828"
"10552","1.7614606618881226","1.7614606618881226","1.7614606618881226"
"10652","1.415784478187561","1.415784478187561","1.415784478187561"
"10752","1.5539450645446777","1.5539450645446777","1.5539450645446777"
"10852","1.446554183959961","1.446554183959961","1.446554183959961"
"10952","1.4382492303848267","1.4382492303848267","1.4382492303848267"
"11052","1.5336685180664062","1.5336685180664062","1.5336685180664062"
"11152","1.2771382331848145","1.2771382331848145","1.2771382331848145"
"11252","1.3849527835845947","1.3849527835845947","1.3849527835845947"
"11352","1.5447181463241577","1.5447181463241577","1.5447181463241577"
"11452","1.4901787042617798","1.4901787042617798","1.4901787042617798"
"11552","1.4526287317276","1.4526287317276","1.4526287317276"
"11652","1.4765233993530273","1.4765233993530273","1.4765233993530273"
"11752","1.3986278772354126","1.3986278772354126","1.3986278772354126"
"11852","1.4757509231567383","1.4757509231567383","1.4757509231567383"
"11952","1.7009762525558472","1.7009762525558472","1.7009762525558472"
"12052","1.615483045578003","1.615483045578003","1.615483045578003"
"12152","1.5240683555603027","1.5240683555603027","1.5240683555603027"
"12252","1.2616310119628906","1.2616310119628906","1.2616310119628906"
"12352","1.421647310256958","1.421647310256958","1.421647310256958"
"12452","1.560546636581421","1.560546636581421","1.560546636581421"
"12552","1.4805759191513062","1.4805759191513062","1.4805759191513062"
"12652","1.4062446355819702","1.4062446355819702","1.4062446355819702"
"12752","1.4915515184402466","1.4915515184402466","1.4915515184402466"
"12852","1.5190412998199463","1.5190412998199463","1.5190412998199463"
"12952","1.5065460205078125","1.5065460205078125","1.5065460205078125"
"13052","1.5895980596542358","1.5895980596542358","1.5895980596542358"
"13152","1.454634428024292","1.454634428024292","1.454634428024292"
"13252","1.5038574934005737","1.5038574934005737","1.5038574934005737"
"13278","1.3495988845825195","1.3495988845825195","1.3495988845825195"
"13378","1.3592634201049805","1.3592634201049805","1.3592634201049805"
"13478","1.427015781402588","1.427015781402588","1.427015781402588"
"13578","1.517425775527954","1.517425775527954","1.517425775527954"
"13678","1.433784008026123","1.433784008026123","1.433784008026123"
"13778","1.4784431457519531","1.4784431457519531","1.4784431457519531"
