"Step","swa_coco_ltd_constraint_b005 - reconstruction_loss","swa_coco_ltd_constraint_b005 - reconstruction_loss__MIN","swa_coco_ltd_constraint_b005 - reconstruction_loss__MAX","swa_coco_ltd_constraint_b01 - reconstruction_loss","swa_coco_ltd_constraint_b01 - reconstruction_loss__MIN","swa_coco_ltd_constraint_b01 - reconstruction_loss__MAX","swa_coco_ltd_constraint_b03 - reconstruction_loss","swa_coco_ltd_constraint_b03 - reconstruction_loss__MIN","swa_coco_ltd_constraint_b03 - reconstruction_loss__MAX","swa_coco_ltd_constraint - reconstruction_loss","swa_coco_ltd_constraint - reconstruction_loss__MIN","swa_coco_ltd_constraint - reconstruction_loss__MAX","swa_coco_ltd - reconstruction_loss","swa_coco_ltd - reconstruction_loss__MIN","swa_coco_ltd - reconstruction_loss__MAX"
"0","1.028573751449585","1.028573751449585","1.028573751449585","1.0169726610183716","1.0169726610183716","1.0169726610183716","1.0054200887680054","1.0054200887680054","1.0054200887680054","1.0114736557006836","1.0114736557006836","1.0114736557006836","1.0130832195281982","1.0130832195281982","1.0130832195281982"
"100","0.6717222929000854","0.6717222929000854","0.6717222929000854","0.6344161629676819","0.6344161629676819","0.6344161629676819","0.6755595803260803","0.6755595803260803","0.6755595803260803","0.6629961729049683","0.6629961729049683","0.6629961729049683","0.7036198377609253","0.7036198377609253","0.7036198377609253"
"200","0.507617712020874","0.507617712020874","0.507617712020874","0.5085700154304504","0.5085700154304504","0.5085700154304504","0.5688557028770447","0.5688557028770447","0.5688557028770447","0.5455979108810425","0.5455979108810425","0.5455979108810425","0.671338677406311","0.671338677406311","0.671338677406311"
"300","0.40574002265930176","0.40574002265930176","0.40574002265930176","0.43140843510627747","0.43140843510627747","0.43140843510627747","0.5098876953125","0.5098876953125","0.5098876953125","0.47596436738967896","0.47596436738967896","0.47596436738967896","0.6350262761116028","0.6350262761116028","0.6350262761116028"
"400","0.38304537534713745","0.38304537534713745","0.38304537534713745","0.3871403932571411","0.3871403932571411","0.3871403932571411","0.473021537065506","0.473021537065506","0.473021537065506","0.4304009675979614","0.4304009675979614","0.4304009675979614","0.5819635391235352","0.5819635391235352","0.5819635391235352"
"500","0.32913050055503845","0.32913050055503845","0.32913050055503845","0.35203003883361816","0.35203003883361816","0.35203003883361816","0.4385877847671509","0.4385877847671509","0.4385877847671509","0.40358400344848633","0.40358400344848633","0.40358400344848633","0.5717365145683289","0.5717365145683289","0.5717365145683289"
"600","0.29406964778900146","0.29406964778900146","0.29406964778900146","0.3283248245716095","0.3283248245716095","0.3283248245716095","0.41392672061920166","0.41392672061920166","0.41392672061920166","0.36290794610977173","0.36290794610977173","0.36290794610977173","0.5196584463119507","0.5196584463119507","0.5196584463119507"
"700","0.2933855652809143","0.2933855652809143","0.2933855652809143","0.29667428135871887","0.29667428135871887","0.29667428135871887","0.37688806653022766","0.37688806653022766","0.37688806653022766","0.34608107805252075","0.34608107805252075","0.34608107805252075","0.49667078256607056","0.49667078256607056","0.49667078256607056"
"800","0.26636677980422974","0.26636677980422974","0.26636677980422974","0.27095937728881836","0.27095937728881836","0.27095937728881836","0.3418619632720947","0.3418619632720947","0.3418619632720947","0.3365297019481659","0.3365297019481659","0.3365297019481659","0.47911083698272705","0.47911083698272705","0.47911083698272705"
"900","0.2638016939163208","0.2638016939163208","0.2638016939163208","0.2807760238647461","0.2807760238647461","0.2807760238647461","0.3438495993614197","0.3438495993614197","0.3438495993614197","0.3250654339790344","0.3250654339790344","0.3250654339790344","0.4597875475883484","0.4597875475883484","0.4597875475883484"
"1000","0.2562040686607361","0.2562040686607361","0.2562040686607361","0.2537304759025574","0.2537304759025574","0.2537304759025574","0.3235718011856079","0.3235718011856079","0.3235718011856079","0.29295963048934937","0.29295963048934937","0.29295963048934937","0.45727455615997314","0.45727455615997314","0.45727455615997314"
"1100","0.2490762621164322","0.2490762621164322","0.2490762621164322","0.25005143880844116","0.25005143880844116","0.25005143880844116","0.30676254630088806","0.30676254630088806","0.30676254630088806","0.2988353371620178","0.2988353371620178","0.2988353371620178","0.4490553140640259","0.4490553140640259","0.4490553140640259"
"1200","0.22520500421524048","0.22520500421524048","0.22520500421524048","0.22165104746818542","0.22165104746818542","0.22165104746818542","0.30428484082221985","0.30428484082221985","0.30428484082221985","0.28254541754722595","0.28254541754722595","0.28254541754722595","0.4387770891189575","0.4387770891189575","0.4387770891189575"
"1300","0.21947044134140015","0.21947044134140015","0.21947044134140015","0.2384825050830841","0.2384825050830841","0.2384825050830841","0.29237401485443115","0.29237401485443115","0.29237401485443115","0.2766929268836975","0.2766929268836975","0.2766929268836975","0.44232839345932007","0.44232839345932007","0.44232839345932007"
