"Step","coco_ltd_constraint_b03 - best_score","coco_ltd_constraint_b03 - best_score__MIN","coco_ltd_constraint_b03 - best_score__MAX","coco_ltd_constraint_b01 - best_score","coco_ltd_constraint_b01 - best_score__MIN","coco_ltd_constraint_b01 - best_score__MAX","coco_ltd_constraint - best_score","coco_ltd_constraint - best_score__MIN","coco_ltd_constraint - best_score__MAX","coco_ltd - best_score","coco_ltd - best_score__MIN","coco_ltd - best_score__MAX","coco_baseline - best_score","coco_baseline - best_score__MIN","coco_baseline - best_score__MAX"
"137206","300.46799999999996","300.46799999999996","300.46799999999996","288.79999999999995","288.79999999999995","288.79999999999995","308.276","308.276","308.276","302.084","302.084","302.084","298.872","298.872","298.872"
"141632","305.568","305.568","305.568","293.512","293.512","293.512","311.424","311.424","311.424","305.752","305.752","305.752","303.024","303.024","303.024"
"146058","309.08","309.08","309.08","297.056","297.056","297.056","313.84799999999996","313.84799999999996","313.84799999999996","308.824","308.824","308.824","305.724","305.724","305.724"
"150484","310.64","310.64","310.64","300.824","300.824","300.824","317.01200000000006","317.01200000000006","317.01200000000006","310.068","310.068","310.068","307.616","307.616","307.616"
"154910","311.224","311.224","311.224","303.26","303.26","303.26","318.748","318.748","318.748","311.712","311.712","311.712","308.172","308.172","308.172"
"159336","313.764","313.764","313.764","303.76800000000003","303.76800000000003","303.76800000000003","320.7","320.7","320.7","312.876","312.876","312.876","311.904","311.904","311.904"
"163762","314.96799999999996","314.96799999999996","314.96799999999996","306.02799999999996","306.02799999999996","306.02799999999996","321.872","321.872","321.872","313.452","313.452","313.452","313.688","313.688","313.688"
"168188","316.216","316.216","316.216","306.904","306.904","306.904","323.87600000000003","323.87600000000003","323.87600000000003","315.304","315.304","315.304","313.688","313.688","313.688"
"172614","316.668","316.668","316.668","308.168","308.168","308.168","325.016","325.016","325.016","317.11199999999997","317.11199999999997","317.11199999999997","314.78799999999995","314.78799999999995","314.78799999999995"
"177040","317.91599999999994","317.91599999999994","317.91599999999994","309.048","309.048","309.048","325.016","325.016","325.016","317.784","317.784","317.784","315.408","315.408","315.408"
"181466","318.23199999999997","318.23199999999997","318.23199999999997","311.528","311.528","311.528","326.004","326.004","326.004","319.66","319.66","319.66","316.38","316.38","316.38"
"185892","320.74","320.74","320.74","312.32000000000005","312.32000000000005","312.32000000000005","327.644","327.644","327.644","320.024","320.024","320.024","317.28000000000003","317.28000000000003","317.28000000000003"
"190318","320.74","320.74","320.74","312.428","312.428","312.428","327.644","327.644","327.644","320.28","320.28","320.28","318.65200000000004","318.65200000000004","318.65200000000004"
"194744","321.84400000000005","321.84400000000005","321.84400000000005","314.148","314.148","314.148","327.884","327.884","327.884","321.14799999999997","321.14799999999997","321.14799999999997","319.02","319.02","319.02"
"199170","321.84400000000005","321.84400000000005","321.84400000000005","314.488","314.488","314.488","328.476","328.476","328.476","321.836","321.836","321.836","319.65199999999993","319.65199999999993","319.65199999999993"
"203596","322.452","322.452","322.452","315.296","315.296","315.296","328.664","328.664","328.664","321.836","321.836","321.836","319.65199999999993","319.65199999999993","319.65199999999993"
"208022","322.856","322.856","322.856","316.188","316.188","316.188","328.664","328.664","328.664","322.268","322.268","322.268","319.716","319.716","319.716"
"212448","322.856","322.856","322.856","316.23199999999997","316.23199999999997","316.23199999999997","328.664","328.664","328.664","322.92","322.92","322.92","319.96","319.96","319.96"
"216874","323.84","323.84","323.84","317.308","317.308","317.308","329.33599999999996","329.33599999999996","329.33599999999996","323.724","323.724","323.724","321.084","321.084","321.084"
"221300","323.84","323.84","323.84","317.44","317.44","317.44","330.13199999999995","330.13199999999995","330.13199999999995","323.772","323.772","323.772","321.14799999999997","321.14799999999997","321.14799999999997"
"225726","324.56399999999996","324.56399999999996","324.56399999999996","318.98","318.98","318.98","330.13199999999995","330.13199999999995","330.13199999999995","323.772","323.772","323.772","322.05600000000004","322.05600000000004","322.05600000000004"
"230152","324.97200000000004","324.97200000000004","324.97200000000004","318.98","318.98","318.98","330.63200000000006","330.63200000000006","330.63200000000006","323.964","323.964","323.964","322.05600000000004","322.05600000000004","322.05600000000004"
"234578","324.97200000000004","324.97200000000004","324.97200000000004","318.98","318.98","318.98","330.63200000000006","330.63200000000006","330.63200000000006","324.22399999999993","324.22399999999993","324.22399999999993","322.7","322.7","322.7"
"239004","325.212","325.212","325.212","318.98","318.98","318.98","330.672","330.672","330.672","324.28","324.28","324.28","322.7","322.7","322.7"
"243430","325.212","325.212","325.212","318.98","318.98","318.98","331.044","331.044","331.044","325.12","325.12","325.12","322.7","322.7","322.7"
"247856","325.212","325.212","325.212","318.98400000000004","318.98400000000004","318.98400000000004","331.26800000000003","331.26800000000003","331.26800000000003","325.12","325.12","325.12","322.7","322.7","322.7"
"252282","325.35600000000005","325.35600000000005","325.35600000000005","319.116","319.116","319.116","331.26800000000003","331.26800000000003","331.26800000000003","325.216","325.216","325.216","322.7","322.7","322.7"
"256708","325.35600000000005","325.35600000000005","325.35600000000005","319.116","319.116","319.116","331.26800000000003","331.26800000000003","331.26800000000003","325.216","325.216","325.216","323.144","323.144","323.144"
"261134","325.35600000000005","325.35600000000005","325.35600000000005","319.61199999999997","319.61199999999997","319.61199999999997","331.76399999999995","331.76399999999995","331.76399999999995","325.216","325.216","325.216","323.144","323.144","323.144"
"265560","325.35600000000005","325.35600000000005","325.35600000000005","319.61199999999997","319.61199999999997","319.61199999999997","331.76399999999995","331.76399999999995","331.76399999999995","325.216","325.216","325.216","323.144","323.144","323.144"
