"Step","coco_ltd_constraint_b03 - reconstruction_loss","coco_ltd_constraint_b03 - reconstruction_loss__MIN","coco_ltd_constraint_b03 - reconstruction_loss__MAX","coco_ltd_constraint_b01 - reconstruction_loss","coco_ltd_constraint_b01 - reconstruction_loss__MIN","coco_ltd_constraint_b01 - reconstruction_loss__MAX","coco_ltd_constraint - reconstruction_loss","coco_ltd_constraint - reconstruction_loss__MIN","coco_ltd_constraint - reconstruction_loss__MAX","coco_ltd - reconstruction_loss","coco_ltd - reconstruction_loss__MIN","coco_ltd - reconstruction_loss__MAX"
"0","0.9948655962944031","0.9948655962944031","0.9948655962944031","1.0071680545806885","1.0071680545806885","1.0071680545806885","0.9966851472854614","0.9966851472854614","0.9966851472854614","1.0219626426696777","1.0219626426696777","1.0219626426696777"
"100","0.6534286141395569","0.6534286141395569","0.6534286141395569","0.6606006622314453","0.6606006622314453","0.6606006622314453","0.635223388671875","0.635223388671875","0.635223388671875","0.6915563344955444","0.6915563344955444","0.6915563344955444"
"200","0.5691807270050049","0.5691807270050049","0.5691807270050049","0.5241721868515015","0.5241721868515015","0.5241721868515015","0.5526232719421387","0.5526232719421387","0.5526232719421387","0.6774342060089111","0.6774342060089111","0.6774342060089111"
"300","0.5233261585235596","0.5233261585235596","0.5233261585235596","0.42742353677749634","0.42742353677749634","0.42742353677749634","0.4875158369541168","0.4875158369541168","0.4875158369541168","0.6301524639129639","0.6301524639129639","0.6301524639129639"
"400","0.48800742626190186","0.48800742626190186","0.48800742626190186","0.39522844552993774","0.39522844552993774","0.39522844552993774","0.45882290601730347","0.45882290601730347","0.45882290601730347","0.5860627889633179","0.5860627889633179","0.5860627889633179"
"500","0.425437867641449","0.425437867641449","0.425437867641449","0.35581547021865845","0.35581547021865845","0.35581547021865845","0.4297552704811096","0.4297552704811096","0.4297552704811096","0.5549494624137878","0.5549494624137878","0.5549494624137878"
"600","0.4384837746620178","0.4384837746620178","0.4384837746620178","0.33443450927734375","0.33443450927734375","0.33443450927734375","0.39720574021339417","0.39720574021339417","0.39720574021339417","0.5366702675819397","0.5366702675819397","0.5366702675819397"
"700","0.37699371576309204","0.37699371576309204","0.37699371576309204","0.2982279658317566","0.2982279658317566","0.2982279658317566","0.3667829632759094","0.3667829632759094","0.3667829632759094","0.49735182523727417","0.49735182523727417","0.49735182523727417"
"800","0.372588187456131","0.372588187456131","0.372588187456131","0.27821481227874756","0.27821481227874756","0.27821481227874756","0.3270474672317505","0.3270474672317505","0.3270474672317505","0.49174290895462036","0.49174290895462036","0.49174290895462036"
"900","0.377239853143692","0.377239853143692","0.377239853143692","0.27466481924057007","0.27466481924057007","0.27466481924057007","0.31288158893585205","0.31288158893585205","0.31288158893585205","0.4707525968551636","0.4707525968551636","0.4707525968551636"
"1000","0.3329312205314636","0.3329312205314636","0.3329312205314636","0.2613045573234558","0.2613045573234558","0.2613045573234558","0.2993268072605133","0.2993268072605133","0.2993268072605133","0.44831690192222595","0.44831690192222595","0.44831690192222595"
"1100","0.3190442621707916","0.3190442621707916","0.3190442621707916","0.2533769905567169","0.2533769905567169","0.2533769905567169","0.292991578578949","0.292991578578949","0.292991578578949","0.45272067189216614","0.45272067189216614","0.45272067189216614"
"1200","0.31587880849838257","0.31587880849838257","0.31587880849838257","0.24478688836097717","0.24478688836097717","0.24478688836097717","0.27504801750183105","0.27504801750183105","0.27504801750183105","0.4216431975364685","0.4216431975364685","0.4216431975364685"
"1300","0.27987658977508545","0.27987658977508545","0.27987658977508545","0.24659773707389832","0.24659773707389832","0.24659773707389832","0.27302294969558716","0.27302294969558716","0.27302294969558716","0.43806326389312744","0.43806326389312744","0.43806326389312744"
"1400","0.297004759311676","0.297004759311676","0.297004759311676","0.23000577092170715","0.23000577092170715","0.23000577092170715","0.24838827550411224","0.24838827550411224","0.24838827550411224","0.4090472459793091","0.4090472459793091","0.4090472459793091"
"1500","0.28258785605430603","0.28258785605430603","0.28258785605430603","0.20494000613689423","0.20494000613689423","0.20494000613689423","0.2504292130470276","0.2504292130470276","0.2504292130470276","0.41874897480010986","0.41874897480010986","0.41874897480010986"
"1600","0.2703050971031189","0.2703050971031189","0.2703050971031189","0.2178094983100891","0.2178094983100891","0.2178094983100891","0.24329791963100433","0.24329791963100433","0.24329791963100433","0.39985090494155884","0.39985090494155884","0.39985090494155884"
"1700","0.26861536502838135","0.26861536502838135","0.26861536502838135","0.21745115518569946","0.21745115518569946","0.21745115518569946","0.25349104404449463","0.25349104404449463","0.25349104404449463","0.39043065905570984","0.39043065905570984","0.39043065905570984"
"1800","0.24055317044258118","0.24055317044258118","0.24055317044258118","0.196792334318161","0.196792334318161","0.196792334318161","0.2447449266910553","0.2447449266910553","0.2447449266910553","0.3889237344264984","0.3889237344264984","0.3889237344264984"
"1900","0.2709391713142395","0.2709391713142395","0.2709391713142395","0.2076391875743866","0.2076391875743866","0.2076391875743866","0.23987329006195068","0.23987329006195068","0.23987329006195068","0.39081868529319763","0.39081868529319763","0.39081868529319763"
"2000","0.25975656509399414","0.25975656509399414","0.25975656509399414","0.18976646661758423","0.18976646661758423","0.18976646661758423","0.2271040827035904","0.2271040827035904","0.2271040827035904","0.37574777007102966","0.37574777007102966","0.37574777007102966"
"2100","0.2629101872444153","0.2629101872444153","0.2629101872444153","0.1822207272052765","0.1822207272052765","0.1822207272052765","0.2305327206850052","0.2305327206850052","0.2305327206850052","0.3697916269302368","0.3697916269302368","0.3697916269302368"
"2200","0.24804988503456116","0.24804988503456116","0.24804988503456116","0.19694682955741882","0.19694682955741882","0.19694682955741882","0.2130749225616455","0.2130749225616455","0.2130749225616455","0.3451821804046631","0.3451821804046631","0.3451821804046631"
"2300","0.23185987770557404","0.23185987770557404","0.23185987770557404","0.17778584361076355","0.17778584361076355","0.17778584361076355","0.21871799230575562","0.21871799230575562","0.21871799230575562","0.38168299198150635","0.38168299198150635","0.38168299198150635"
"2400","0.24019017815589905","0.24019017815589905","0.24019017815589905","0.1886606514453888","0.1886606514453888","0.1886606514453888","0.21730254590511322","0.21730254590511322","0.21730254590511322","0.3503950238227844","0.3503950238227844","0.3503950238227844"
"2500","0.21688950061798096","0.21688950061798096","0.21688950061798096","0.17903101444244385","0.17903101444244385","0.17903101444244385","0.20835590362548828","0.20835590362548828","0.20835590362548828","0.3459499478340149","0.3459499478340149","0.3459499478340149"
"2600","0.22961457073688507","0.22961457073688507","0.22961457073688507","0.18959152698516846","0.18959152698516846","0.18959152698516846","0.2040083408355713","0.2040083408355713","0.2040083408355713","0.36862027645111084","0.36862027645111084","0.36862027645111084"
"2700","0.23267969489097595","0.23267969489097595","0.23267969489097595","0.1834365576505661","0.1834365576505661","0.1834365576505661","0.20580744743347168","0.20580744743347168","0.20580744743347168","0.38350483775138855","0.38350483775138855","0.38350483775138855"
"2800","0.23208308219909668","0.23208308219909668","0.23208308219909668","0.18548274040222168","0.18548274040222168","0.18548274040222168","0.1937219649553299","0.1937219649553299","0.1937219649553299","0.3634824752807617","0.3634824752807617","0.3634824752807617"
"2900","0.2353929579257965","0.2353929579257965","0.2353929579257965","0.19111773371696472","0.19111773371696472","0.19111773371696472","0.2055375874042511","0.2055375874042511","0.2055375874042511","0.34267544746398926","0.34267544746398926","0.34267544746398926"
"3000","0.21667098999023438","0.21667098999023438","0.21667098999023438","0.17537622153759003","0.17537622153759003","0.17537622153759003","0.21233271062374115","0.21233271062374115","0.21233271062374115","0.35620754957199097","0.35620754957199097","0.35620754957199097"
"3100","0.23349766433238983","0.23349766433238983","0.23349766433238983","0.1675332486629486","0.1675332486629486","0.1675332486629486","0.21103313565254211","0.21103313565254211","0.21103313565254211","0.3417699933052063","0.3417699933052063","0.3417699933052063"
"3200","0.23175005614757538","0.23175005614757538","0.23175005614757538","0.17279541492462158","0.17279541492462158","0.17279541492462158","0.19010716676712036","0.19010716676712036","0.19010716676712036","0.34372854232788086","0.34372854232788086","0.34372854232788086"
"3300","0.22278644144535065","0.22278644144535065","0.22278644144535065","0.16667711734771729","0.16667711734771729","0.16667711734771729","0.18979692459106445","0.18979692459106445","0.18979692459106445","0.33483371138572693","0.33483371138572693","0.33483371138572693"
"3400","0.23650945723056793","0.23650945723056793","0.23650945723056793","0.19106002151966095","0.19106002151966095","0.19106002151966095","0.19269856810569763","0.19269856810569763","0.19269856810569763","0.32579338550567627","0.32579338550567627","0.32579338550567627"
"3500","0.22508332133293152","0.22508332133293152","0.22508332133293152","0.17211250960826874","0.17211250960826874","0.17211250960826874","0.173659548163414","0.173659548163414","0.173659548163414","0.3413166403770447","0.3413166403770447","0.3413166403770447"
"3600","0.21691282093524933","0.21691282093524933","0.21691282093524933","0.1714874505996704","0.1714874505996704","0.1714874505996704","0.1811663806438446","0.1811663806438446","0.1811663806438446","0.3249073624610901","0.3249073624610901","0.3249073624610901"
"3700","0.21812863647937775","0.21812863647937775","0.21812863647937775","0.16761955618858337","0.16761955618858337","0.16761955618858337","0.20262086391448975","0.20262086391448975","0.20262086391448975","0.3335150182247162","0.3335150182247162","0.3335150182247162"
"3800","0.2239668071269989","0.2239668071269989","0.2239668071269989","0.17744344472885132","0.17744344472885132","0.17744344472885132","0.2037978172302246","0.2037978172302246","0.2037978172302246","0.3068811297416687","0.3068811297416687","0.3068811297416687"
"3900","0.21746724843978882","0.21746724843978882","0.21746724843978882","0.1786792278289795","0.1786792278289795","0.1786792278289795","0.19331637024879456","0.19331637024879456","0.19331637024879456","0.31680166721343994","0.31680166721343994","0.31680166721343994"
"4000","0.2096455991268158","0.2096455991268158","0.2096455991268158","0.16332413256168365","0.16332413256168365","0.16332413256168365","0.19569942355155945","0.19569942355155945","0.19569942355155945","0.31021618843078613","0.31021618843078613","0.31021618843078613"
"4100","0.234964057803154","0.234964057803154","0.234964057803154","0.18296167254447937","0.18296167254447937","0.18296167254447937","0.20443087816238403","0.20443087816238403","0.20443087816238403","0.313676118850708","0.313676118850708","0.313676118850708"
"4200","0.22233104705810547","0.22233104705810547","0.22233104705810547","0.15563806891441345","0.15563806891441345","0.15563806891441345","0.1922171413898468","0.1922171413898468","0.1922171413898468","0.3110842704772949","0.3110842704772949","0.3110842704772949"
"4300","0.22822150588035583","0.22822150588035583","0.22822150588035583","0.1545342206954956","0.1545342206954956","0.1545342206954956","0.19170531630516052","0.19170531630516052","0.19170531630516052","0.3137947916984558","0.3137947916984558","0.3137947916984558"
"4400","0.21569415926933289","0.21569415926933289","0.21569415926933289","0.15913845598697662","0.15913845598697662","0.15913845598697662","0.187197744846344","0.187197744846344","0.187197744846344","0.30505383014678955","0.30505383014678955","0.30505383014678955"
