"Step","coco_ltd_constraint_b03 - multiplier","coco_ltd_constraint_b03 - multiplier__MIN","coco_ltd_constraint_b03 - multiplier__MAX","coco_ltd_constraint_b01 - multiplier","coco_ltd_constraint_b01 - multiplier__MIN","coco_ltd_constraint_b01 - multiplier__MAX","coco_ltd_constraint - multiplier","coco_ltd_constraint - multiplier__MIN","coco_ltd_constraint - multiplier__MAX"
"0","1.0115810632705688","1.0115810632705688","1.0115810632705688","1.045358419418335","1.045358419418335","1.045358419418335","1.0199171304702759","1.0199171304702759","1.0199171304702759"
"100","1.7526271343231201","1.7526271343231201","1.7526271343231201","4.279436111450195","4.279436111450195","4.279436111450195","2.3759028911590576","2.3759028911590576","2.3759028911590576"
"200","2.2926950454711914","2.2926950454711914","2.2926950454711914","6.740594387054443","6.740594387054443","6.740594387054443","3.371173620223999","3.371173620223999","3.371173620223999"
"300","2.701907157897949","2.701907157897949","2.701907157897949","8.653596878051758","8.653596878051758","8.653596878051758","4.17004919052124","4.17004919052124","4.17004919052124"
"400","3.0214993953704834","3.0214993953704834","3.0214993953704834","10.25071907043457","10.25071907043457","10.25071907043457","4.85558557510376","4.85558557510376","4.85558557510376"
"500","3.286628007888794","3.286628007888794","3.286628007888794","11.658232688903809","11.658232688903809","11.658232688903809","5.454784870147705","5.454784870147705","5.454784870147705"
"600","3.506481885910034","3.506481885910034","3.506481885910034","12.883010864257812","12.883010864257812","12.883010864257812","5.965559482574463","5.965559482574463","5.965559482574463"
"700","3.6792476177215576","3.6792476177215576","3.6792476177215576","13.975506782531738","13.975506782531738","13.975506782531738","6.4051337242126465","6.4051337242126465","6.4051337242126465"
"800","3.8097875118255615","3.8097875118255615","3.8097875118255615","14.968337059020996","14.968337059020996","14.968337059020996","6.770659446716309","6.770659446716309","6.770659446716309"
"900","3.9064955711364746","3.9064955711364746","3.9064955711364746","15.90040397644043","15.90040397644043","15.90040397644043","7.080988883972168","7.080988883972168","7.080988883972168"
